,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
0,H,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,0.0
1,H,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,-4.0
2,NH,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,2.0
3,NH,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,1.0
4,H,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,-10.0
5,NH,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,2.0
6,H,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,-13.0
7,H,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,5.0
8,H,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,-8.0
9,H,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,-10.0
10,H,0.0,1.5,L,M,M,W,M,M,-0.5,0.5,-1.5,-2.0
11,H,0.0,1.5,L,M,M,W,M,M,-0.5,1.0,-1.5,12.0
12,NH,0.0,1.5,L,M,M,W,M,M,-1.0,1.0,-1.5,17.0
13,NH,1.5,1.5,W,M,M,W,M,M,1.0,1.0,0.0,2.0
14,H,0.0,1.5,L,M,M,W,M,M,-1.0,2.0,-1.5,-5.0
15,H,0.0,1.5,L,M,M,W,M,M,-2.0,0.5,-1.5,11.0
16,H,0.0,0.5,L,M,M,D,M,M,-1.0,0.0,-0.5,-5.0
17,NH,0.5,0.0,D,M,M,L,M,M,0.0,-1.0,0.5,1.0
18,NH,0.0,0.5,L,M,M,D,M,M,-1.0,0.0,-0.5,1.0
19,H,0.0,1.5,L,M,M,W,M,M,-0.5,2.0,-1.5,-16.0
20,NH,1.0,1.3333333333333333,W,L,M,W,D,M,0.3333333333333333,0.3333333333333333,-0.3333333333333333,9.0
21,NH,1.0,0.3333333333333333,W,L,M,L,D,M,0.3333333333333333,-0.3333333333333333,0.6666666666666666,-3.0
22,H,0.3333333333333333,1.0,D,L,M,L,W,M,-0.6666666666666666,-0.3333333333333333,-0.6666666666666666,11.0
23,NH,1.0,1.0,W,L,M,W,L,M,-0.6666666666666666,-0.3333333333333333,0.0,4.0
24,NH,1.3333333333333333,2.0,D,W,M,W,W,M,0.6666666666666666,1.0,-0.6666666666666666,9.0
25,H,1.0,1.3333333333333333,W,L,M,D,W,M,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,1.0
26,NH,0.3333333333333333,1.0,L,D,M,L,W,M,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,11.0
27,NH,0.0,1.3333333333333333,L,L,M,D,W,M,-1.0,0.6666666666666666,-1.3333333333333333,8.0
28,NH,0.6666666666666666,1.0,D,D,M,L,W,M,0.0,0.0,-0.3333333333333333,1.0
29,NH,2.0,1.0,W,W,M,W,L,M,1.0,-0.6666666666666666,1.0,-15.0
30,H,1.25,1.0,D,D,W,D,W,L,0.5,0.25,0.25,-16.0
31,NH,0.75,0.25,L,L,W,D,L,L,-0.5,-0.75,0.5,-2.0
32,H,1.0,1.0,L,D,W,D,W,L,0.0,0.25,0.0,-3.0
33,NH,0.75,0.5,L,L,W,D,L,D,-0.25,-0.25,0.25,3.0
34,NH,1.0,1.5,D,L,W,W,W,L,0.0,0.75,-0.5,3.0
35,NH,1.5,1.5,W,W,L,W,W,L,0.0,0.25,0.0,3.0
36,NH,0.5,1.0,D,L,D,L,D,W,-0.25,0.25,-0.5,4.0
37,H,1.25,1.0,D,W,D,W,D,L,0.25,-0.25,0.25,-10.0
38,H,1.0,0.5,D,L,W,L,D,D,-0.25,-0.5,0.5,-2.0
39,NH,1.0,1.5,D,W,L,W,W,L,0.25,0.75,-0.5,15.0
40,NH,1.2,1.4,L,W,W,D,L,W,-0.4,0.4,-0.2,11.0
41,NH,0.8,1.0,L,W,D,W,L,D,-0.4,-0.2,-0.2,12.0
42,H,1.6,0.6,W,D,W,D,D,L,0.4,-0.2,1.0,-7.0
43,H,1.4,1.2,W,D,L,W,L,W,0.2,-0.4,0.2,-14.0
44,H,1.6,0.8,W,D,D,D,L,L,1.6,-0.4,0.8,-6.0
45,NH,1.0,0.8,D,L,D,L,D,W,0.2,0.0,0.2,-1.0
46,NH,1.8,1.0,W,W,W,D,D,L,0.6,0.0,0.8,6.0
47,NH,0.6,0.8,D,D,L,D,L,L,-0.2,-0.2,-0.2,-2.0
48,H,1.4,0.4,W,L,D,D,D,L,0.2,-0.6,1.0,1.0
49,H,1.4,1.2,D,W,W,L,W,W,0.6,-0.4,0.2,-12.0
50,H,1.3333333333333333,0.8333333333333334,W,W,L,D,L,D,0.16666666666666666,-0.8333333333333334,0.5,-11.0
51,H,0.8333333333333334,1.6666666666666667,D,D,L,W,W,L,-0.16666666666666666,0.3333333333333333,-0.8333333333333334,8.0
52,NH,1.1666666666666667,1.8333333333333333,W,L,D,W,W,D,0.16666666666666666,1.8333333333333333,-0.6666666666666666,12.0
53,NH,1.1666666666666667,0.6666666666666666,L,D,L,L,L,W,0.16666666666666666,-0.5,0.5,-15.0
54,H,0.5,1.6666666666666667,L,D,D,D,W,W,-0.3333333333333333,0.5,-1.1666666666666667,4.0
55,H,0.6666666666666666,0.6666666666666666,L,D,L,D,D,D,-0.8333333333333334,-0.16666666666666666,0.0,-9.0
56,NH,1.0,1.8333333333333333,D,D,D,W,W,D,0.0,0.5,-0.8333333333333334,-3.0
57,NH,1.0,0.8333333333333334,L,W,L,L,D,L,-0.5,0.0,0.16666666666666666,6.0
58,NH,0.3333333333333333,1.6666666666666667,L,D,D,W,W,D,-0.6666666666666666,0.3333333333333333,-1.3333333333333333,5.0
59,NH,0.8333333333333334,0.5,D,L,D,L,D,D,-0.8333333333333334,-0.3333333333333333,0.3333333333333333,2.0
60,NH,1.0,0.42857142857142855,L,D,L,D,L,D,-0.42857142857142855,-0.5714285714285714,0.5714285714285714,5.0
61,NH,0.5714285714285714,1.1428571428571428,L,D,D,D,L,D,-0.2857142857142857,0.14285714285714285,-0.2857142857142857,13.0
62,NH,1.0,1.5714285714285714,W,L,L,W,D,D,-0.2857142857142857,0.5714285714285714,-0.5714285714285714,16.0
63,NH,1.5714285714285714,1.0,D,W,W,W,L,D,0.2857142857142857,-0.5714285714285714,0.5714285714285714,-3.0
64,NH,2.0,0.8571428571428571,W,W,W,L,D,D,1.8571428571428572,-0.2857142857142857,1.1428571428571428,-4.0
65,NH,0.8571428571428571,1.2857142857142858,D,L,D,D,W,W,0.0,0.14285714285714285,-0.7142857142857143,6.0
66,NH,1.4285714285714286,1.1428571428571428,L,D,W,W,D,D,0.14285714285714285,0.0,0.7142857142857143,-7.0
67,NH,1.4285714285714286,1.0,L,W,W,D,L,W,0.14285714285714285,-0.42857142857142855,0.0,-8.0
68,NH,2.0,1.0,W,W,W,L,W,L,0.7142857142857143,-0.14285714285714285,0.8571428571428571,-5.0
69,H,1.2857142857142858,0.5714285714285714,D,W,W,L,D,D,0.14285714285714285,-0.2857142857142857,0.7142857142857143,-10.0
70,NH,1.375,0.875,W,W,D,L,L,D,0.125,-0.75,0.5,4.0
71,NH,1.0,1.0,D,L,W,D,W,L,-0.125,-0.25,-0.25,-5.0
72,H,1.375,1.375,W,D,L,D,L,W,0.25,0.125,-0.25,-7.0
73,NH,1.0,1.25,D,D,L,L,L,D,-0.375,0.0,-0.25,7.0
74,NH,1.125,0.875,W,W,L,D,D,L,0.125,0.0,0.625,3.0
75,NH,0.75,0.625,W,D,L,L,L,D,-0.125,-1.0,0.5,-8.0
76,H,1.5,1.875,D,W,D,D,W,W,0.5,1.625,-0.25,1.0
77,H,0.875,1.5,D,L,D,D,D,W,-0.25,0.25,-0.625,1.0
78,NH,1.0,1.875,D,W,L,D,W,W,-0.5,0.625,-0.75,-1.0
79,H,1.5,1.5,D,W,D,W,D,W,0.5,0.5,-0.125,-4.0
80,H,0.8888888888888888,1.2222222222222223,D,L,L,L,D,L,-0.6666666666666666,0.0,-0.5555555555555556,4.0
81,NH,0.8888888888888888,1.0,L,D,L,L,W,W,-0.4444444444444444,-0.1111111111111111,-0.3333333333333333,-2.0
82,NH,1.2222222222222223,0.7777777777777778,W,D,W,D,W,D,0.1111111111111111,-0.1111111111111111,0.1111111111111111,9.0
83,H,1.5555555555555556,1.3333333333333333,W,W,D,D,W,W,0.4444444444444444,0.1111111111111111,-0.1111111111111111,-15.0
84,NH,1.7777777777777777,1.6666666666666667,D,D,W,L,D,W,0.5555555555555556,1.3333333333333333,0.1111111111111111,7.0
85,H,0.8888888888888888,0.6666666666666666,L,D,D,D,L,L,-0.4444444444444444,-0.8888888888888888,0.3333333333333333,1.0
86,H,1.0,1.1111111111111112,D,D,W,W,D,L,-0.4444444444444444,0.1111111111111111,0.0,2.0
87,NH,0.5555555555555556,1.3333333333333333,L,D,L,L,D,D,-0.5555555555555556,-0.1111111111111111,-0.5555555555555556,12.0
88,NH,1.1111111111111112,1.4444444444444444,W,D,D,W,L,L,0.2222222222222222,0.1111111111111111,-0.1111111111111111,1.0
89,NH,0.6666666666666666,1.2222222222222223,D,L,L,W,D,W,-0.8888888888888888,0.1111111111111111,-0.5555555555555556,-1.0
90,H,1.2,1.0,L,D,W,L,W,D,-0.1,0.0,0.3,6.0
91,H,1.0,1.1,L,W,D,W,D,L,0.0,-0.5,0.0,-9.0
92,H,1.5,1.6,W,L,D,L,D,D,0.3,0.2,0.0,-4.0
93,H,1.8,1.4,W,L,D,L,W,W,1.5,0.1,0.3,-2.0
94,NH,1.6,0.9,W,W,L,D,L,D,0.3,-0.4,0.2,-2.0
95,H,1.1,0.5,L,L,D,L,L,D,-0.1,-0.9,0.2,-6.0
96,NH,0.8,1.8,D,D,W,W,W,D,-0.1,0.6,-0.5,7.0
97,NH,1.3,1.2,D,L,W,W,D,D,0.3,-0.3,0.0,-1.0
98,NH,1.0,1.1,D,L,W,W,L,D,-0.1,-0.2,0.2,-3.0
99,H,1.8,1.1,W,W,D,W,L,D,0.6,-0.2,0.6,-16.0
100,H,1.4545454545454546,1.3636363636363635,W,D,L,W,L,D,0.36363636363636365,0.0,-0.18181818181818182,-12.0
101,H,1.1818181818181819,1.2727272727272727,W,L,W,W,L,L,0.45454545454545453,0.09090909090909091,0.2727272727272727,-5.0
102,H,1.3636363636363635,0.9090909090909091,W,D,W,L,L,W,0.2727272727272727,-0.09090909090909091,0.5454545454545454,6.0
103,H,1.4545454545454546,0.45454545454545453,L,L,D,L,L,L,0.09090909090909091,-1.0,0.36363636363636365,-8.0
104,H,1.9090909090909092,0.9090909090909091,W,W,L,L,D,L,1.6363636363636365,-0.2727272727272727,0.2727272727272727,-14.0
105,H,1.1818181818181819,1.0,D,W,D,L,W,D,-0.2727272727272727,-0.9090909090909091,0.45454545454545453,-7.0
106,H,0.7272727272727273,1.4545454545454546,L,D,D,L,W,W,-0.18181818181818182,0.18181818181818182,0.0,-2.0
107,NH,0.5454545454545454,1.3636363636363635,L,L,D,D,L,W,-1.0909090909090908,0.09090909090909091,-0.6363636363636364,14.0
108,H,1.6363636363636365,1.0909090909090908,W,W,L,W,D,L,0.36363636363636365,-0.2727272727272727,0.2727272727272727,-9.0
109,H,1.3636363636363635,0.5454545454545454,W,L,D,L,L,D,0.0,-1.0909090909090908,0.8181818181818182,1.0
110,NH,0.9166666666666666,2.0,L,L,W,W,W,W,-0.9166666666666666,1.9166666666666667,-0.5,13.0
111,H,1.5,1.75,W,D,L,W,W,W,0.16666666666666666,0.5,0.0,-1.0
112,NH,1.1666666666666667,1.5833333333333333,L,W,W,W,L,L,-0.4166666666666667,0.16666666666666666,0.16666666666666666,10.0
113,NH,0.8333333333333334,2.0,L,L,L,W,W,W,-0.16666666666666666,1.0,-0.75,10.0
114,H,1.3333333333333333,1.5,L,L,W,W,W,D,0.08333333333333333,0.3333333333333333,-0.4166666666666667,-7.0
115,H,0.8333333333333334,1.3333333333333333,L,L,D,W,W,L,-0.6666666666666666,0.6666666666666666,-0.5,10.0
116,H,1.1666666666666667,1.3333333333333333,L,W,L,W,D,W,-0.16666666666666666,-0.16666666666666666,-0.4166666666666667,3.0
117,NH,1.0,1.5833333333333333,L,W,D,W,W,D,-0.4166666666666667,0.4166666666666667,-0.4166666666666667,7.0
118,NH,0.4166666666666667,0.9166666666666666,L,L,L,W,L,D,-1.0,-0.08333333333333333,-0.5833333333333334,7.0
119,NH,2.0,0.4166666666666667,W,W,W,L,L,L,1.0,-1.0,1.0,-14.0
120,H,1.6923076923076923,1.3076923076923077,W,W,W,W,L,W,0.5384615384615384,-0.07692307692307693,0.3076923076923077,-4.0
121,NH,0.5384615384615384,0.9230769230769231,L,D,L,L,L,W,-1.0769230769230769,-0.46153846153846156,-0.15384615384615385,4.0
122,H,1.3846153846153846,1.3846153846153846,L,W,W,W,L,W,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.0
123,NH,1.6923076923076923,1.4615384615384615,W,W,L,W,L,L,0.23076923076923078,0.15384615384615385,-0.15384615384615385,-3.0
124,H,2.076923076923077,0.7692307692307693,W,W,W,L,L,L,1.8461538461538463,-0.23076923076923078,0.6923076923076923,-11.0
125,NH,1.2307692307692308,1.0,L,W,D,W,L,L,-0.23076923076923078,-0.5384615384615384,0.3076923076923077,-8.0
126,H,0.9230769230769231,1.0769230769230769,D,W,L,L,L,W,-0.07692307692307693,-0.46153846153846156,0.0,-9.0
127,NH,1.2307692307692308,1.4615384615384615,L,W,W,D,W,D,0.5384615384615384,0.15384615384615385,0.07692307692307693,2.0
128,H,1.6153846153846154,0.8461538461538461,L,W,W,L,L,L,0.38461538461538464,-0.9230769230769231,0.38461538461538464,-10.0
129,H,1.3846153846153846,1.2307692307692308,W,L,W,L,W,W,0.07692307692307693,0.5384615384615384,-0.15384615384615385,13.0
130,H,0.5,0.5,D,D,L,L,L,D,-0.8571428571428571,-1.0714285714285714,0.07142857142857142,-1.0
131,H,1.0714285714285714,2.0,W,L,L,D,W,W,-0.35714285714285715,0.9285714285714286,-0.42857142857142855,11.0
132,NH,1.3571428571428572,1.0714285714285714,L,D,W,W,D,W,0.07142857142857142,0.14285714285714285,-0.21428571428571427,-6.0
133,NH,1.0,2.142857142857143,L,L,L,W,W,W,-0.6428571428571429,1.7857142857142858,-0.6428571428571429,17.0
134,NH,0.7142857142857143,1.6428571428571428,L,L,L,D,W,W,-0.2857142857142857,0.21428571428571427,-0.5,4.0
135,NH,1.4285714285714286,1.2142857142857142,D,W,L,D,L,W,0.14285714285714285,-0.21428571428571427,-0.07142857142857142,4.0
136,H,1.0,1.5714285714285714,D,W,L,L,W,W,-0.5,0.35714285714285715,-0.35714285714285715,9.0
137,H,1.2142857142857142,1.7142857142857142,L,W,L,W,L,W,-0.21428571428571427,0.5714285714285714,-0.42857142857142855,6.0
138,NH,0.7857142857142857,1.5,L,L,L,W,L,W,-1.0714285714285714,0.35714285714285715,-0.5,-4.0
139,NH,1.2857142857142858,1.2142857142857142,L,W,L,D,L,W,-0.07142857142857142,-0.21428571428571427,-0.14285714285714285,11.0
140,NH,0.7333333333333333,1.5333333333333334,L,L,L,D,L,W,-1.0666666666666667,0.3333333333333333,-0.6666666666666666,8.0
141,NH,0.6666666666666666,2.2,W,D,D,W,W,W,-0.6666666666666666,1.7333333333333334,-0.6666666666666666,15.0
142,H,1.2,1.1333333333333333,W,W,L,L,D,L,-0.2,0.3333333333333333,0.13333333333333333,8.0
143,NH,0.9333333333333333,1.6,L,L,L,W,W,L,-0.6666666666666666,0.4,-0.6,0.0
144,NH,0.6666666666666666,0.4666666666666667,L,L,L,L,L,L,-0.4666666666666667,-1.1333333333333333,-0.06666666666666667,-5.0
145,NH,1.1333333333333333,1.2,W,D,W,W,W,D,-0.3333333333333333,0.2,-0.2,6.0
146,H,1.3333333333333333,1.7333333333333334,W,L,W,W,D,W,-0.13333333333333333,0.4,-0.06666666666666667,2.0
147,H,1.4666666666666666,1.8666666666666667,W,L,D,L,D,W,0.13333333333333333,0.7333333333333333,-0.13333333333333333,1.0
148,H,1.3333333333333333,1.6,L,D,W,L,W,L,0.06666666666666667,0.4666666666666667,-0.3333333333333333,7.0
149,H,1.8666666666666667,1.1333333333333333,L,D,W,W,D,W,0.7333333333333333,-0.3333333333333333,0.2,-13.0
150,NH,1.5,1.4375,D,D,L,W,L,D,0.3125,0.125,0.0625,-5.0
151,H,0.5,0.75,D,L,L,D,L,L,-1.0625,-1.0,0.0625,3.0
152,NH,1.6875,0.625,W,W,W,L,W,D,0.4375,-0.8125,0.4375,2.0
153,H,1.625,1.375,L,W,D,L,W,L,0.1875,0.0,0.1875,5.0
154,H,1.5,1.3125,L,L,W,L,W,L,0.375,0.0,0.0,-14.0
155,H,2.25,1.4375,W,W,W,W,W,L,1.8125,0.0625,0.375,-9.0
156,H,1.3125,0.6875,W,W,W,D,L,L,0.25,-0.4375,0.75,-3.0
157,H,1.0625,0.875,L,L,D,L,L,L,0.25,-0.6875,0.25,-13.0
158,H,1.4375,1.3125,W,W,D,W,W,W,-0.0625,-0.125,0.0625,-6.0
159,H,1.75,1.4375,L,L,D,W,L,D,0.625,0.125,0.0,-9.0
160,NH,0.6470588235294118,1.3529411764705883,W,D,L,L,W,W,-0.9411764705882353,-0.058823529411764705,-0.29411764705882354,7.0
161,NH,1.2352941176470589,2.2941176470588234,L,L,W,W,W,W,-0.17647058823529413,1.8235294117647058,-0.5294117647058824,17.0
162,H,1.1764705882352942,0.7647058823529411,W,L,L,W,L,W,0.29411764705882354,-0.7058823529411765,-0.23529411764705882,-11.0
163,H,0.8235294117647058,1.2352941176470589,L,L,L,L,W,W,-0.7058823529411765,-0.23529411764705882,-0.5294117647058824,5.0
164,H,1.0,1.2941176470588236,L,L,W,L,L,W,-0.4117647058823529,-0.058823529411764705,0.17647058823529413,12.0
165,H,1.5294117647058822,0.6470588235294118,W,W,W,L,D,L,0.058823529411764705,-0.47058823529411764,0.5294117647058824,-5.0
166,NH,1.411764705882353,1.4705882352941178,W,W,W,D,D,D,0.29411764705882354,0.29411764705882354,0.4117647058823529,3.0
167,H,0.7058823529411765,1.7058823529411764,L,D,L,W,L,W,-1.0,0.29411764705882354,-0.5294117647058824,6.0
168,NH,1.588235294117647,1.588235294117647,W,L,L,L,W,W,0.5294117647058824,0.35294117647058826,-0.17647058823529413,-14.0
169,NH,1.4705882352941178,0.8235294117647058,D,D,D,L,L,L,0.29411764705882354,-0.7058823529411765,0.35294117647058826,-12.0
170,H,0.7222222222222222,0.8333333333333334,L,W,L,W,L,D,-0.8333333333333334,-0.8888888888888888,0.16666666666666666,2.0
171,NH,1.1666666666666667,1.3888888888888888,L,L,W,D,W,W,-0.5,0.2777777777777778,-0.2222222222222222,4.0
172,H,1.6666666666666667,1.1111111111111112,W,L,W,W,L,L,0.3888888888888889,-0.3333333333333333,0.2777777777777778,3.0
173,H,1.3888888888888888,1.6111111111111112,W,L,L,W,W,W,0.05555555555555555,0.1111111111111111,-0.3888888888888889,-4.0
174,H,1.6111111111111112,1.2222222222222223,L,W,L,D,L,L,0.2222222222222222,-0.16666666666666666,0.16666666666666666,-10.0
175,H,0.6111111111111112,1.2777777777777777,L,L,D,W,W,L,-0.5,0.4444444444444444,-0.3333333333333333,7.0
176,H,1.3333333333333333,0.6666666666666666,L,D,W,D,W,D,-0.16666666666666666,-0.8888888888888888,0.0,-6.0
177,NH,2.2222222222222223,1.5,D,W,W,L,W,L,1.7222222222222223,0.4444444444444444,0.3888888888888889,-3.0
178,NH,1.3333333333333333,1.8888888888888888,D,L,W,W,W,L,-0.05555555555555555,0.8888888888888888,0.0,8.0
179,NH,0.8333333333333334,1.1111111111111112,W,L,D,W,L,L,-0.8888888888888888,-0.3333333333333333,-0.16666666666666666,-1.0
180,H,1.1578947368421053,1.1578947368421053,L,D,L,D,L,L,-0.2631578947368421,-0.47368421052631576,-0.15789473684210525,5.0
181,H,1.2105263157894737,0.631578947368421,L,W,W,L,D,W,0.3684210526315789,-0.8947368421052632,0.05263157894736842,-12.0
182,H,0.8421052631578947,1.4210526315789473,W,L,W,W,L,D,-0.7368421052631579,-0.10526315789473684,0.10526315789473684,5.0
183,NH,1.3157894736842106,1.5263157894736843,L,W,L,W,D,D,0.0,0.3157894736842105,-0.05263157894736842,-3.0
184,H,1.6842105263157894,1.368421052631579,W,L,W,D,D,W,0.3157894736842105,0.2631578947368421,-0.10526315789473684,-1.0
185,H,1.5789473684210527,1.8421052631578947,W,L,W,D,W,W,0.47368421052631576,0.8421052631578947,-0.05263157894736842,2.0
186,H,2.1052631578947367,1.736842105263158,L,D,W,W,W,L,1.5789473684210527,0.47368421052631576,-0.10526315789473684,-17.0
187,H,1.5263157894736843,0.9473684210526315,L,W,W,D,W,L,0.0,-0.3684210526315789,0.42105263157894735,-11.0
188,NH,1.3157894736842106,0.7368421052631579,D,D,L,W,L,L,-0.05263157894736842,-0.42105263157894735,0.21052631578947367,-2.0
189,H,1.8421052631578947,1.6842105263157894,D,W,W,W,L,W,0.8421052631578947,0.3157894736842105,-0.10526315789473684,-6.0
190,NH,1.45,2.15,L,W,D,W,L,D,0.25,1.6,-0.2,5.0
191,NH,0.6,1.6,L,L,D,W,L,W,-1.0,0.05,-0.35,10.0
192,NH,1.1,0.8,L,D,L,D,L,W,-0.5,-0.85,-0.05,-1.0
193,NH,1.65,1.3,L,W,W,W,L,W,0.35,0.5,0.0,13.0
194,NH,0.9,0.95,L,D,W,W,W,L,-0.4,-0.6,-0.25,2.0
195,H,0.75,1.65,D,W,L,W,W,L,-0.4,0.65,-0.2,8.0
196,H,1.35,1.25,L,W,L,L,L,W,-0.2,-0.05,0.2,8.0
197,H,1.3,1.25,L,D,D,W,L,D,0.2,-0.2,0.2,-9.0
198,H,1.05,1.3,D,L,W,D,D,D,-0.4,-0.05,-0.1,5.0
199,NH,1.75,1.6,L,D,W,W,L,W,0.6,0.05,-0.25,-5.0
200,H,1.619047619047619,1.2380952380952381,D,L,W,L,D,D,0.3333333333333333,-0.14285714285714285,0.19047619047619047,8.0
201,NH,0.9047619047619048,1.1904761904761905,D,L,D,L,W,L,-0.38095238095238093,-0.42857142857142855,0.047619047619047616,0.0
202,NH,0.8571428571428571,0.9047619047619048,W,D,W,W,D,L,-0.3333333333333333,-0.7619047619047619,0.0,-2.0
203,NH,1.4285714285714286,2.1904761904761907,W,L,W,W,W,L,-0.14285714285714285,1.5714285714285714,-0.14285714285714285,10.0
204,H,1.1428571428571428,0.9523809523809523,W,D,L,D,W,W,-0.2857142857142857,-0.5714285714285714,-0.14285714285714285,-1.0
205,H,1.1904761904761905,1.8095238095238095,L,W,L,W,L,D,-0.42857142857142855,0.8095238095238095,-0.2857142857142857,16.0
206,H,1.2857142857142858,1.380952380952381,D,W,L,L,L,W,0.47619047619047616,0.19047619047619047,0.23809523809523808,-1.0
207,NH,0.9047619047619048,0.9047619047619048,W,D,L,D,L,D,-0.7619047619047619,-0.38095238095238093,0.09523809523809523,-4.0
208,H,0.9523809523809523,1.0476190476190477,D,W,W,L,L,D,-0.5714285714285714,-0.5238095238095238,0.42857142857142855,3.0
209,NH,1.2380952380952381,0.8571428571428571,D,L,L,W,D,W,-0.047619047619047616,-0.3333333333333333,-0.14285714285714285,-9.0
210,NH,1.5909090909090908,0.6818181818181818,L,L,W,W,L,L,0.045454545454545456,-1.0,0.09090909090909091,-9.0
211,H,1.6363636363636365,1.2272727272727273,W,L,W,W,W,D,0.5909090909090909,-0.22727272727272727,-0.045454545454545456,-11.0
212,H,2.1363636363636362,1.3181818181818181,D,W,W,L,W,L,1.5,0.3181818181818182,0.13636363636363635,-8.0
213,H,1.6363636363636365,1.6818181818181819,D,W,W,W,D,L,0.18181818181818182,0.45454545454545453,0.0,-11.0
214,H,1.1818181818181819,1.4090909090909092,L,L,D,D,W,L,-0.2727272727272727,-0.13636363636363635,-0.18181818181818182,-1.0
215,NH,1.7727272727272727,1.3636363636363635,D,W,L,W,D,W,0.7727272727272727,0.5,-0.09090909090909091,-3.0
216,NH,1.3181818181818181,1.6363636363636365,L,L,L,W,L,W,0.045454545454545456,0.5909090909090909,-0.22727272727272727,2.0
217,NH,0.6818181818181818,2.1363636363636362,W,L,L,D,W,W,-1.0,1.5,-0.18181818181818182,16.0
218,NH,1.0,1.1818181818181819,L,L,L,L,L,D,-0.5454545454545454,-0.2727272727272727,-0.09090909090909091,3.0
219,NH,0.8636363636363636,1.3181818181818181,L,D,L,W,D,L,-0.5,0.13636363636363635,-0.09090909090909091,15.0
220,H,0.8695652173913043,1.0,D,D,W,W,L,D,-0.30434782608695654,-0.5217391304347826,-0.043478260869565216,-4.0
221,H,1.3478260869565217,0.9130434782608695,L,D,W,D,D,W,-0.21739130434782608,-0.6956521739130435,0.043478260869565216,-3.0
222,NH,1.173913043478261,1.3478260869565217,L,W,W,W,W,L,-0.2608695652173913,-0.21739130434782608,-0.08695652173913043,-3.0
223,NH,1.2608695652173914,1.6956521739130435,L,L,W,W,D,W,0.21739130434782608,0.30434782608695654,-0.2608695652173913,2.0
224,H,1.608695652173913,1.5217391304347827,L,W,D,L,L,L,0.30434782608695654,-0.043478260869565216,0.043478260869565216,10.0
225,H,1.3478260869565217,1.608695652173913,D,W,D,L,W,D,0.4782608695652174,0.30434782608695654,0.043478260869565216,-13.0
226,NH,0.9130434782608695,1.0,D,D,W,D,L,L,-0.6956521739130435,-0.5217391304347826,0.17391304347826086,1.0
227,NH,1.0,0.8695652173913043,W,L,D,D,L,D,-0.5217391304347826,-0.4782608695652174,0.30434782608695654,-2.0
228,NH,1.2608695652173914,1.3478260869565217,L,W,D,L,D,W,0.043478260869565216,-0.21739130434782608,-0.13043478260869565,-8.0
229,NH,1.5217391304347827,1.6956521739130435,L,L,L,L,D,W,-0.043478260869565216,0.6956521739130435,0.043478260869565216,6.0
230,NH,1.6666666666666667,0.9583333333333334,D,W,W,W,D,D,0.6666666666666666,-0.125,0.041666666666666664,-8.0
231,H,2.2083333333333335,1.2083333333333333,W,W,D,L,L,L,1.5833333333333333,-0.08333333333333333,0.5416666666666666,-5.0
232,NH,1.25,1.1666666666666667,D,W,L,D,L,W,-0.16666666666666666,-0.25,-0.125,-5.0
233,NH,1.75,0.6666666666666666,W,W,D,D,L,W,0.375,-1.0416666666666667,0.375,-10.0
234,NH,1.3333333333333333,1.25,D,W,W,D,L,L,-0.20833333333333334,0.20833333333333334,0.25,9.0
235,NH,1.2083333333333333,1.3333333333333333,L,L,L,W,L,W,-0.08333333333333333,0.08333333333333333,-0.2916666666666667,3.0
236,H,1.6666666666666667,0.6666666666666666,D,L,D,D,L,W,0.6666666666666666,-1.0416666666666667,0.041666666666666664,-15.0
237,H,1.3333333333333333,0.9583333333333334,D,W,W,L,W,L,-0.20833333333333334,-0.6666666666666666,0.125,2.0
238,H,1.4166666666666667,1.4166666666666667,W,D,W,W,L,D,0.5833333333333334,-0.125,0.16666666666666666,-6.0
239,NH,1.0833333333333333,0.9583333333333334,W,D,L,W,D,D,-0.4166666666666667,-0.125,-0.20833333333333334,1.0
240,H,1.4,0.84,W,W,L,L,L,D,0.12,-0.8,0.2,-11.0
241,NH,0.84,1.64,D,L,D,D,D,W,-0.6,0.64,-0.2,14.0
242,H,1.16,1.44,D,D,L,L,D,L,-0.24,-0.08,0.28,7.0
243,NH,1.72,2.24,D,W,W,W,W,W,0.36,1.6,-0.08,6.0
244,NH,1.24,1.24,D,D,L,D,D,W,0.2,-0.16,0.0,-1.0
245,NH,0.64,1.28,L,D,L,W,L,L,-1.08,0.04,0.04,11.0
246,NH,0.84,1.64,L,L,D,D,D,L,-0.8,0.64,-0.04,12.0
247,H,0.96,1.72,D,L,W,D,W,W,-0.64,0.36,-0.24,9.0
