,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
2747,H,2.4444444444444446,0.5555555555555556,W,W,W,D,D,L,1.4444444444444444,-0.4444444444444444,1.1111111111111112,-3.0
2748,NH,1.5555555555555556,1.8888888888888888,W,D,W,W,W,W,0.4444444444444444,0.5555555555555556,-0.5555555555555556,10.0
2749,H,1.6666666666666667,0.7777777777777778,W,W,L,L,W,L,0.3333333333333333,-1.0,0.7777777777777778,2.0
2750,NH,1.3,1.9,L,W,L,W,D,W,0.1,1.1,-0.3,3.0
2751,NH,0.7,0.5,L,D,D,L,D,L,-0.4,-1.7,0.0,0.0
2752,H,1.9,0.8,W,W,D,L,L,D,0.7,-0.4,0.6,-4.0
2753,NH,0.8,1.5,L,L,D,W,D,L,-0.6,0.0,-0.1,10.0
2754,NH,0.8,1.5,L,L,L,W,W,W,-0.4,0.5,-0.9,9.0
2755,H,1.3,0.8,W,L,L,L,L,D,0.3,-0.6,0.2,-3.0
2756,H,1.7,0.7,W,W,L,D,D,D,0.5,-0.2,0.5,8.0
2757,H,0.8,0.8,L,L,D,L,L,L,-0.4,-0.4,0.3,0.0
2758,H,1.5,1.9,W,D,L,W,W,D,0.0,0.7,-0.5,-12.0
2759,H,2.0,0.8,W,W,W,L,L,D,0.9,-0.6,1.1,-11.0
2760,NH,1.6363636363636365,1.2727272727272727,W,W,W,D,W,L,0.6363636363636364,0.2727272727272727,0.8181818181818182,-6.0
2761,H,0.9090909090909091,1.5454545454545454,L,W,L,L,W,W,-0.9090909090909091,0.36363636363636365,-0.2727272727272727,-5.0
2762,NH,0.7272727272727273,0.7272727272727273,L,L,L,D,L,D,-0.7272727272727273,-0.36363636363636365,0.0,0.0
2763,NH,0.45454545454545453,1.3636363636363635,L,L,D,D,L,W,-0.6363636363636364,0.09090909090909091,-0.5454545454545454,-4.0
2764,NH,0.5454545454545454,1.1818181818181819,D,L,D,L,L,W,-1.5454545454545454,0.0,0.18181818181818182,12.0
2765,NH,1.8181818181818181,2.3636363636363638,D,W,D,D,W,W,1.0,1.3636363636363635,-0.36363636363636365,-1.0
2766,NH,0.6363636363636364,1.9090909090909092,L,D,D,W,W,W,-0.36363636363636365,0.5454545454545454,-0.8181818181818182,-5.0
2767,NH,2.3636363636363638,2.090909090909091,D,W,W,W,W,W,1.3636363636363635,1.0909090909090908,-0.18181818181818182,3.0
2768,H,1.3636363636363635,0.5454545454545454,D,L,W,D,L,D,0.09090909090909091,-1.5454545454545454,0.2727272727272727,-7.0
2769,NH,1.9090909090909092,1.8181818181818181,W,W,W,D,W,D,0.5454545454545454,1.0,0.2727272727272727,7.0
2770,H,1.3333333333333333,0.9166666666666666,W,L,L,W,L,L,0.16666666666666666,-0.3333333333333333,0.16666666666666666,-12.0
2771,H,0.75,1.0833333333333333,D,D,L,W,L,W,-0.3333333333333333,-0.75,-0.4166666666666667,10.0
2772,NH,0.6666666666666666,0.5833333333333334,L,L,L,L,L,D,-0.9166666666666666,-0.4166666666666667,-0.16666666666666666,7.0
2773,NH,1.4166666666666667,1.5833333333333333,L,L,W,D,W,W,0.08333333333333333,0.5833333333333334,-0.5833333333333334,4.0
2774,NH,0.6666666666666666,1.75,L,L,L,W,W,W,-0.5833333333333334,0.6666666666666666,-0.8333333333333334,16.0
2775,NH,1.25,0.5,D,D,W,D,L,L,0.25,-0.5833333333333334,0.16666666666666666,8.0
2776,H,1.8333333333333333,0.75,L,W,W,D,L,L,0.16666666666666666,-0.6666666666666666,0.6666666666666666,-4.0
2777,NH,0.5,1.25,L,D,L,D,D,W,-1.5833333333333333,0.25,-0.25,3.0
2778,H,1.75,0.75,D,D,W,D,D,L,0.9166666666666666,-0.3333333333333333,0.4166666666666667,-15.0
